IBGE;Chave Sem Acento;Chave Com Acento;Perímetro;IBGE;UF;MUNICIPIOS;CONCAT;Tabela Regional
5219753;GO - SANTO ANTONIO DO DESCOBERTO;GO - Santo Antônio do Descoberto;V.tal;5219753;GO;SANTO ANTONIO DO DESCOBERTO;GO - SANTO ANTONIO DO DESCOBERTO;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5219738;GO - SANTO ANTONIO DE GOIAS;GO - Santo Antônio de Goiás;V.tal;5219738;GO;SANTO ANTONIO DE GOIAS;GO - SANTO ANTONIO DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5219712;GO - SANTO ANTONIO DA BARRA;GO - Santo Antônio da Barra;Fora do perimetro;5219712;GO;SANTO ANTONIO DA BARRA;GO - SANTO ANTONIO DA BARRA;FORA DO PERIMETRO VTAL
5219704;GO - SANTA TEREZINHA DE GOIAS;GO - Santa Terezinha de Goiás;Fora do perimetro;5219704;GO;SANTA TEREZINHA DE GOIAS;GO - SANTA TEREZINHA DE GOIAS;FORA DO PERIMETRO VTAL
5219605;GO - SANTA TEREZA DE GOIAS;GO - Santa Tereza de Goiás;V.tal;5219605;GO;SANTA TEREZA DE GOIAS;GO - SANTA TEREZA DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5219506;GO - SANTA ROSA DE GOIAS;GO - Santa Rosa de Goiás;Fora do perimetro;5219506;GO;SANTA ROSA DE GOIAS;GO - SANTA ROSA DE GOIAS;FORA DO PERIMETRO VTAL
5219456;GO - SANTA RITA DO NOVO DESTINO;GO - Santa Rita do Novo Destino;Fora do perimetro;5219456;GO;SANTA RITA DO NOVO DESTINO;GO - SANTA RITA DO NOVO DESTINO;FORA DO PERIMETRO VTAL
5219407;GO - SANTA RITA DO ARAGUAIA;GO - Santa Rita do Araguaia;V.tal;5219407;GO;SANTA RITA DO ARAGUAIA;GO - SANTA RITA DO ARAGUAIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5219357;GO - SANTA ISABEL;GO - Santa Isabel;Fora do perimetro;5219357;GO;SANTA ISABEL;GO - SANTA ISABEL;FORA DO PERIMETRO VTAL
5219308;GO - SANTA HELENA DE GOIAS;GO - Santa Helena de Goiás;V.tal;5219308;GO;SANTA HELENA DE GOIAS;GO - SANTA HELENA DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
