IBGE;Chave Sem Acento;Chave Com Acento;Perímetro;IBGE;UF;MUNICIPIOS;CONCAT;Tabela Regional
3554755;SP - TRABIJU;SP - Trabiju;Fora do perimetro;3554755;SP;TRABIJU;SP - TRABIJU;FORA DO PERIMETRO VTAL
3554706;SP - TORRINHA;SP - Torrinha;Fora do perimetro;3554706;SP;TORRINHA;SP - TORRINHA;FORA DO PERIMETRO VTAL
3554656;SP - TORRE DE PEDRA;SP - Torre de Pedra;Fora do perimetro;3554656;SP;TORRE DE PEDRA;SP - TORRE DE PEDRA;FORA DO PERIMETRO VTAL
3554607;SP - TIMBURI;SP - Timburi;Fora do perimetro;3554607;SP;TIMBURI;SP - TIMBURI;FORA DO PERIMETRO VTAL
3554508;SP - TIETE;SP - Tietê;Fora do perimetro;3554508;SP;TIETE;SP - TIETE;FORA DO PERIMETRO VTAL
3554409;SP - TERRA ROXA;SP - Terra Roxa;Fora do perimetro;3554409;SP;TERRA ROXA;SP - TERRA ROXA;FORA DO PERIMETRO VTAL
3554300;SP - TEODORO SAMPAIO;SP - Teodoro Sampaio;Fora do perimetro;3554300;SP;TEODORO SAMPAIO;SP - TEODORO SAMPAIO;FORA DO PERIMETRO VTAL
3554201;SP - TEJUPA;SP - Tejupá;Fora do perimetro;3554201;SP;TEJUPA;SP - TEJUPA;FORA DO PERIMETRO VTAL
3554102;SP - TAUBATE;SP - Taubaté;Fora do perimetro;3554102;SP;TAUBATE;SP - TAUBATE;FORA DO PERIMETRO VTAL
3554003;SP - TATUI;SP - Tatuí;Fora do perimetro;3554003;SP;TATUI;SP - TATUI;FORA DO PERIMETRO VTAL
3553955;SP - TARUMA;SP - Tarumã;Fora do perimetro;3553955;SP;TARUMA;SP - TARUMA;FORA DO PERIMETRO VTAL
3553906;SP - TARABAI;SP - Tarabai;Fora do perimetro;3553906;SP;TARABAI;SP - TARABAI;FORA DO PERIMETRO VTAL
3553856;SP - TAQUARIVAI;SP - Taquarivaí;Fora do perimetro;3553856;SP;TAQUARIVAI;SP - TAQUARIVAI;FORA DO PERIMETRO VTAL
3553807;SP - TAQUARITUBA;SP - Taquarituba;Fora do perimetro;3553807;SP;TAQUARITUBA;SP - TAQUARITUBA;FORA DO PERIMETRO VTAL
3553708;SP - TAQUARITINGA;SP - Taquaritinga;Fora do perimetro;3553708;SP;TAQUARITINGA;SP - TAQUARITINGA;FORA DO PERIMETRO VTAL
3553658;SP - TAQUARAL;SP - Taquaral;Fora do perimetro;3553658;SP;TAQUARAL;SP - TAQUARAL;FORA DO PERIMETRO VTAL
3553609;SP - TAPIRATIBA;SP - Tapiratiba;Fora do perimetro;3553609;SP;TAPIRATIBA;SP - TAPIRATIBA;FORA DO PERIMETRO VTAL
3553500;SP - TAPIRAI;SP - Tapiraí;Fora do perimetro;3553500;SP;TAPIRAI;SP - TAPIRAI;FORA DO PERIMETRO VTAL
3553401;SP - TANABI;SP - Tanabi;Fora do perimetro;3553401;SP;TANABI;SP - TANABI;FORA DO PERIMETRO VTAL
3553302;SP - TAMBAU;SP - Tambaú;Fora do perimetro;3553302;SP;TAMBAU;SP - TAMBAU;FORA DO PERIMETRO VTAL
3553203;SP - TAIUVA;SP - Taiúva;Fora do perimetro;3553203;SP;TAIUVA;SP - TAIUVA;FORA DO PERIMETRO VTAL
3553104;SP - TAIACU;SP - Taiaçu;Fora do perimetro;3553104;SP;TAIACU;SP - TAIACU;FORA DO PERIMETRO VTAL
3553005;SP - TAGUAI;SP - Taguaí;Fora do perimetro;3553005;SP;TAGUAI;SP - TAGUAI;FORA DO PERIMETRO VTAL
3552908;SP - TACIBA;SP - Taciba;Fora do perimetro;3552908;SP;TACIBA;SP - TACIBA;FORA DO PERIMETRO VTAL
3552809;SP - TABOAO DA SERRA;SP - Taboão da Serra;V.tal;3552809;SP;TABOAO DA SERRA;SP - TABOAO DA SERRA;08. SP/RJ-Interior
3552700;SP - TABATINGA;SP - Tabatinga;Fora do perimetro;3552700;SP;TABATINGA;SP - TABATINGA;FORA DO PERIMETRO VTAL
3552601;SP - TABAPUA;SP - Tabapuã;Fora do perimetro;3552601;SP;TABAPUA;SP - TABAPUA;FORA DO PERIMETRO VTAL
3552551;SP - SUZANAPOLIS;SP - Suzanápolis;Fora do perimetro;3552551;SP;SUZANAPOLIS;SP - SUZANAPOLIS;FORA DO PERIMETRO VTAL
3552502;SP - SUZANO;SP - Suzano;V.tal;3552502;SP;SUZANO;SP - SUZANO;08. SP/RJ-Interior
3552403;SP - SUMARE;SP - Sumaré;Fora do perimetro;3552403;SP;SUMARE;SP - SUMARE;FORA DO PERIMETRO VTAL
3552304;SP - SUD MENNUCCI;SP - Sud Mennucci;Fora do perimetro;3552304;SP;SUD MENNUCCI;SP - SUD MENNUCCI;FORA DO PERIMETRO VTAL
3552205;SP - SOROCABA;SP - Sorocaba;V.tal;3552205;SP;SOROCABA;SP - SOROCABA;08. SP/RJ-Interior
3552106;SP - SOCORRO;SP - Socorro;Fora do perimetro;3552106;SP;SOCORRO;SP - SOCORRO;FORA DO PERIMETRO VTAL
3552007;SP - SILVEIRAS;SP - Silveiras;Fora do perimetro;3552007;SP;SILVEIRAS;SP - SILVEIRAS;FORA DO PERIMETRO VTAL
3551900;SP - SEVERINIA;SP - Severínia;Fora do perimetro;3551900;SP;SEVERINIA;SP - SEVERINIA;FORA DO PERIMETRO VTAL
3551801;SP - SETE BARRAS;SP - Sete Barras;Fora do perimetro;3551801;SP;SETE BARRAS;SP - SETE BARRAS;FORA DO PERIMETRO VTAL
3551702;SP - SERTAOZINHO;SP - Sertãozinho;Fora do perimetro;3551702;SP;SERTAOZINHO;SP - SERTAOZINHO;FORA DO PERIMETRO VTAL
3551603;SP - SERRA NEGRA;SP - Serra Negra;Fora do perimetro;3551603;SP;SERRA NEGRA;SP - SERRA NEGRA;FORA DO PERIMETRO VTAL
3551504;SP - SERRANA;SP - Serrana;Fora do perimetro;3551504;SP;SERRANA;SP - SERRANA;FORA DO PERIMETRO VTAL
3551405;SP - SERRA AZUL;SP - Serra Azul;Fora do perimetro;3551405;SP;SERRA AZUL;SP - SERRA AZUL;FORA DO PERIMETRO VTAL
3551306;SP - SEBASTIANOPOLIS DO SUL;SP - Sebastianópolis do Sul;Fora do perimetro;3551306;SP;SEBASTIANOPOLIS DO SUL;SP - SEBASTIANOPOLIS DO SUL;FORA DO PERIMETRO VTAL
3551207;SP - SARUTAIA;SP - Sarutaiá;Fora do perimetro;3551207;SP;SARUTAIA;SP - SARUTAIA;FORA DO PERIMETRO VTAL
3551108;SP - SARAPUI;SP - Sarapuí;Fora do perimetro;3551108;SP;SARAPUI;SP - SARAPUI;FORA DO PERIMETRO VTAL
3551009;SP - SAO VICENTE;SP - São Vicente;V.tal;3551009;SP;SAO VICENTE;SP - SAO VICENTE;08. SP/RJ-Interior
3550902;SP - SAO SIMAO;SP - São Simão;Fora do perimetro;3550902;SP;SAO SIMAO;SP - SAO SIMAO;FORA DO PERIMETRO VTAL
3550803;SP - SAO SEBASTIAO DA GRAMA;SP - São Sebastião da Grama;Fora do perimetro;3550803;SP;SAO SEBASTIAO DA GRAMA;SP - SAO SEBASTIAO DA GRAMA;FORA DO PERIMETRO VTAL
3550704;SP - SAO SEBASTIAO;SP - São Sebastião;Fora do perimetro;3550704;SP;SAO SEBASTIAO;SP - SAO SEBASTIAO;FORA DO PERIMETRO VTAL
3550605;SP - SAO ROQUE;SP - São Roque;Fora do perimetro;3550605;SP;SAO ROQUE;SP - SAO ROQUE;FORA DO PERIMETRO VTAL
3550506;SP - SAO PEDRO DO TURVO;SP - São Pedro do Turvo;Fora do perimetro;3550506;SP;SAO PEDRO DO TURVO;SP - SAO PEDRO DO TURVO;FORA DO PERIMETRO VTAL
3550407;SP - SAO PEDRO;SP - São Pedro;Fora do perimetro;3550407;SP;SAO PEDRO;SP - SAO PEDRO;FORA DO PERIMETRO VTAL
3550308;SP - SAO PAULO;SP - São Paulo;V.tal;3550308;SP;SAO PAULO;SP - SAO PAULO;01. SP-Capital
3550209;SP - SAO MIGUEL ARCANJO;SP - São Miguel Arcanjo;Fora do perimetro;3550209;SP;SAO MIGUEL ARCANJO;SP - SAO MIGUEL ARCANJO;FORA DO PERIMETRO VTAL
3550100;SP - SAO MANUEL;SP - São Manuel;Fora do perimetro;3550100;SP;SAO MANUEL;SP - SAO MANUEL;FORA DO PERIMETRO VTAL
3550001;SP - SAO LUIS DO PARAITINGA;SP - São Luís do Paraitinga;Fora do perimetro;3550001;SP;SAO LUIS DO PARAITINGA;SP - SAO LUIS DO PARAITINGA;FORA DO PERIMETRO VTAL
3549953;SP - SAO LOURENCO DA SERRA;SP - São Lourenço da Serra;Fora do perimetro;3549953;SP;SAO LOURENCO DA SERRA;SP - SAO LOURENCO DA SERRA;FORA DO PERIMETRO VTAL
3549904;SP - SAO JOSE DOS CAMPOS;SP - São José dos Campos;V.tal;3549904;SP;SAO JOSE DOS CAMPOS;SP - SAO JOSE DOS CAMPOS;08. SP/RJ-Interior
3549805;SP - SAO JOSE DO RIO PRETO;SP - São José do Rio Preto;Fora do perimetro;3549805;SP;SAO JOSE DO RIO PRETO;SP - SAO JOSE DO RIO PRETO;FORA DO PERIMETRO VTAL
3549706;SP - SAO JOSE DO RIO PARDO;SP - São José do Rio Pardo;Fora do perimetro;3549706;SP;SAO JOSE DO RIO PARDO;SP - SAO JOSE DO RIO PARDO;FORA DO PERIMETRO VTAL
3549607;SP - SAO JOSE DO BARREIRO;SP - São José do Barreiro;Fora do perimetro;3549607;SP;SAO JOSE DO BARREIRO;SP - SAO JOSE DO BARREIRO;FORA DO PERIMETRO VTAL
3549508;SP - SAO JOSE DA BELA VISTA;SP - São José da Bela Vista;Fora do perimetro;3549508;SP;SAO JOSE DA BELA VISTA;SP - SAO JOSE DA BELA VISTA;FORA DO PERIMETRO VTAL
3549409;SP - SAO JOAQUIM DA BARRA;SP - São Joaquim da Barra;Fora do perimetro;3549409;SP;SAO JOAQUIM DA BARRA;SP - SAO JOAQUIM DA BARRA;FORA DO PERIMETRO VTAL
3549300;SP - SAO JOAO DO PAU D'ALHO;SP - São João do Pau d'Alho;Fora do perimetro;3549300;SP;SAO JOAO DO PAU D'ALHO;SP - SAO JOAO DO PAU D'ALHO;FORA DO PERIMETRO VTAL
3549250;SP - SAO JOAO DE IRACEMA;SP - São João de Iracema;Fora do perimetro;3549250;SP;SAO JOAO DE IRACEMA;SP - SAO JOAO DE IRACEMA;FORA DO PERIMETRO VTAL
3549201;SP - SAO JOAO DAS DUAS PONTES;SP - São João das Duas Pontes;Fora do perimetro;3549201;SP;SAO JOAO DAS DUAS PONTES;SP - SAO JOAO DAS DUAS PONTES;FORA DO PERIMETRO VTAL
3549102;SP - SAO JOAO DA BOA VISTA;SP - São João da Boa Vista;Fora do perimetro;3549102;SP;SAO JOAO DA BOA VISTA;SP - SAO JOAO DA BOA VISTA;FORA DO PERIMETRO VTAL
3549003;SP - SAO FRANCISCO;SP - São Francisco;Fora do perimetro;3549003;SP;SAO FRANCISCO;SP - SAO FRANCISCO;FORA DO PERIMETRO VTAL
3548906;SP - SAO CARLOS;SP - São Carlos;V.tal;3548906;SP;SAO CARLOS;SP - SAO CARLOS;08. SP/RJ-Interior
3548807;SP - SAO CAETANO DO SUL;SP - São Caetano do Sul;V.tal;3548807;SP;SAO CAETANO DO SUL;SP - SAO CAETANO DO SUL;08. SP/RJ-Interior
3548708;SP - SAO BERNARDO DO CAMPO;SP - São Bernardo do Campo;V.tal;3548708;SP;SAO BERNARDO DO CAMPO;SP - SAO BERNARDO DO CAMPO;08. SP/RJ-Interior
3548609;SP - SAO BENTO DO SAPUCAI;SP - São Bento do Sapucaí;Fora do perimetro;3548609;SP;SAO BENTO DO SAPUCAI;SP - SAO BENTO DO SAPUCAI;FORA DO PERIMETRO VTAL
3548500;SP - SANTOS;SP - Santos;V.tal;3548500;SP;SANTOS;SP - SANTOS;08. SP/RJ-Interior
3548401;SP - SANTOPOLIS DO AGUAPEI;SP - Santópolis do Aguapeí;Fora do perimetro;3548401;SP;SANTOPOLIS DO AGUAPEI;SP - SANTOPOLIS DO AGUAPEI;FORA DO PERIMETRO VTAL
3548302;SP - SANTO EXPEDITO;SP - Santo Expedito;Fora do perimetro;3548302;SP;SANTO EXPEDITO;SP - SANTO EXPEDITO;FORA DO PERIMETRO VTAL
3548203;SP - SANTO ANTONIO DO PINHAL;SP - Santo Antônio do Pinhal;Fora do perimetro;3548203;SP;SANTO ANTONIO DO PINHAL;SP - SANTO ANTONIO DO PINHAL;FORA DO PERIMETRO VTAL
3548104;SP - SANTO ANTONIO DO JARDIM;SP - Santo Antônio do Jardim;Fora do perimetro;3548104;SP;SANTO ANTONIO DO JARDIM;SP - SANTO ANTONIO DO JARDIM;FORA DO PERIMETRO VTAL
3548054;SP - SANTO ANTONIO DO ARACANGUA;SP - Santo Antônio do Aracanguá;Fora do perimetro;3548054;SP;SANTO ANTONIO DO ARACANGUA;SP - SANTO ANTONIO DO ARACANGUA;FORA DO PERIMETRO VTAL
3548005;SP - SANTO ANTONIO DE POSSE;SP - Santo Antônio de Posse;Fora do perimetro;3548005;SP;SANTO ANTONIO DE POSSE;SP - SANTO ANTONIO DE POSSE;FORA DO PERIMETRO VTAL
3547908;SP - SANTO ANTONIO DA ALEGRIA;SP - Santo Antônio da Alegria;Fora do perimetro;3547908;SP;SANTO ANTONIO DA ALEGRIA;SP - SANTO ANTONIO DA ALEGRIA;FORA DO PERIMETRO VTAL
3547809;SP - SANTO ANDRE;SP - Santo André;V.tal;3547809;SP;SANTO ANDRE;SP - SANTO ANDRE;01. SP-Capital
3547700;SP - SANTO ANASTACIO;SP - Santo Anastácio;V.tal;3547700;SP;SANTO ANASTACIO;SP - SANTO ANASTACIO;08. SP/RJ-Interior
3547650;SP - SANTA SALETE;SP - Santa Salete;Fora do perimetro;3547650;SP;SANTA SALETE;SP - SANTA SALETE;FORA DO PERIMETRO VTAL
3547601;SP - SANTA ROSA DE VITERBO;SP - Santa Rosa de Viterbo;Fora do perimetro;3547601;SP;SANTA ROSA DE VITERBO;SP - SANTA ROSA DE VITERBO;FORA DO PERIMETRO VTAL
3547502;SP - SANTA RITA DO PASSA QUATRO;SP - Santa Rita do Passa Quatro;Fora do perimetro;3547502;SP;SANTA RITA DO PASSA QUATRO;SP - SANTA RITA DO PASSA QUATRO;FORA DO PERIMETRO VTAL
3547403;SP - SANTA RITA D'OESTE;SP - Santa Rita d'Oeste;Fora do perimetro;3547403;SP;SANTA RITA D'OESTE;SP - SANTA RITA D'OESTE;FORA DO PERIMETRO VTAL
3547304;SP - SANTANA DE PARNAIBA;SP - Santana de Parnaíba;V.tal;3547304;SP;SANTANA DE PARNAIBA;SP - SANTANA DE PARNAIBA;08. SP/RJ-Interior
3547205;SP - SANTANA DA PONTE PENSA;SP - Santana da Ponte Pensa;Fora do perimetro;3547205;SP;SANTANA DA PONTE PENSA;SP - SANTANA DA PONTE PENSA;FORA DO PERIMETRO VTAL
3547106;SP - SANTA MERCEDES;SP - Santa Mercedes;Fora do perimetro;3547106;SP;SANTA MERCEDES;SP - SANTA MERCEDES;FORA DO PERIMETRO VTAL
3547007;SP - SANTA MARIA DA SERRA;SP - Santa Maria da Serra;Fora do perimetro;3547007;SP;SANTA MARIA DA SERRA;SP - SANTA MARIA DA SERRA;FORA DO PERIMETRO VTAL
3546900;SP - SANTA LUCIA;SP - Santa Lúcia;Fora do perimetro;3546900;SP;SANTA LUCIA;SP - SANTA LUCIA;FORA DO PERIMETRO VTAL
3546801;SP - SANTA ISABEL;SP - Santa Isabel;Fora do perimetro;3546801;SP;SANTA ISABEL;SP - SANTA ISABEL;FORA DO PERIMETRO VTAL
3546702;SP - SANTA GERTRUDES;SP - Santa Gertrudes;Fora do perimetro;3546702;SP;SANTA GERTRUDES;SP - SANTA GERTRUDES;FORA DO PERIMETRO VTAL
3546603;SP - SANTA FE DO SUL;SP - Santa Fé do Sul;Fora do perimetro;3546603;SP;SANTA FE DO SUL;SP - SANTA FE DO SUL;FORA DO PERIMETRO VTAL
3546504;SP - SANTA ERNESTINA;SP - Santa Ernestina;Fora do perimetro;3546504;SP;SANTA ERNESTINA;SP - SANTA ERNESTINA;FORA DO PERIMETRO VTAL
3546405;SP - SANTA CRUZ DO RIO PARDO;SP - Santa Cruz do Rio Pardo;Fora do perimetro;3546405;SP;SANTA CRUZ DO RIO PARDO;SP - SANTA CRUZ DO RIO PARDO;FORA DO PERIMETRO VTAL
3546306;SP - SANTA CRUZ DAS PALMEIRAS;SP - Santa Cruz das Palmeiras;Fora do perimetro;3546306;SP;SANTA CRUZ DAS PALMEIRAS;SP - SANTA CRUZ DAS PALMEIRAS;FORA DO PERIMETRO VTAL
3546256;SP - SANTA CRUZ DA ESPERANCA;SP - Santa Cruz da Esperança;Fora do perimetro;3546256;SP;SANTA CRUZ DA ESPERANCA;SP - SANTA CRUZ DA ESPERANCA;FORA DO PERIMETRO VTAL
3546207;SP - SANTA CRUZ DA CONCEICAO;SP - Santa Cruz da Conceição;Fora do perimetro;3546207;SP;SANTA CRUZ DA CONCEICAO;SP - SANTA CRUZ DA CONCEICAO;FORA DO PERIMETRO VTAL
3546108;SP - SANTA CLARA D'OESTE;SP - Santa Clara d'Oeste;Fora do perimetro;3546108;SP;SANTA CLARA D'OESTE;SP - SANTA CLARA D'OESTE;FORA DO PERIMETRO VTAL
3546009;SP - SANTA BRANCA;SP - Santa Branca;Fora do perimetro;3546009;SP;SANTA BRANCA;SP - SANTA BRANCA;FORA DO PERIMETRO VTAL
3545803;SP - SANTA BARBARA D'OESTE;SP - Santa Bárbara d'Oeste;Fora do perimetro;3545803;SP;SANTA BARBARA D'OESTE;SP - SANTA BARBARA D'OESTE;FORA DO PERIMETRO VTAL
3545704;SP - SANTA ALBERTINA;SP - Santa Albertina;Fora do perimetro;3545704;SP;SANTA ALBERTINA;SP - SANTA ALBERTINA;FORA DO PERIMETRO VTAL
3545605;SP - SANTA ADELIA;SP - Santa Adélia;Fora do perimetro;3545605;SP;SANTA ADELIA;SP - SANTA ADELIA;FORA DO PERIMETRO VTAL
3545506;SP - SANDOVALINA;SP - Sandovalina;Fora do perimetro;3545506;SP;SANDOVALINA;SP - SANDOVALINA;FORA DO PERIMETRO VTAL
3545407;SP - SALTO GRANDE;SP - Salto Grande;Fora do perimetro;3545407;SP;SALTO GRANDE;SP - SALTO GRANDE;FORA DO PERIMETRO VTAL
3545308;SP - SALTO DE PIRAPORA;SP - Salto de Pirapora;Fora do perimetro;3545308;SP;SALTO DE PIRAPORA;SP - SALTO DE PIRAPORA;FORA DO PERIMETRO VTAL
3545209;SP - SALTO;SP - Salto;Fora do perimetro;3545209;SP;SALTO;SP - SALTO;FORA DO PERIMETRO VTAL
3545159;SP - SALTINHO;SP - Saltinho;Fora do perimetro;3545159;SP;SALTINHO;SP - SALTINHO;FORA DO PERIMETRO VTAL
3545100;SP - SALMOURAO;SP - Salmourão;Fora do perimetro;3545100;SP;SALMOURAO;SP - SALMOURAO;FORA DO PERIMETRO VTAL
3545001;SP - SALESOPOLIS;SP - Salesópolis;Fora do perimetro;3545001;SP;SALESOPOLIS;SP - SALESOPOLIS;FORA DO PERIMETRO VTAL
3544905;SP - SALES OLIVEIRA;SP - Sales Oliveira;Fora do perimetro;3544905;SP;SALES OLIVEIRA;SP - SALES OLIVEIRA;FORA DO PERIMETRO VTAL
3544806;SP - SALES;SP - Sales;Fora do perimetro;3544806;SP;SALES;SP - SALES;FORA DO PERIMETRO VTAL
3544707;SP - SAGRES;SP - Sagres;Fora do perimetro;3544707;SP;SAGRES;SP - SAGRES;FORA DO PERIMETRO VTAL
3544608;SP - SABINO;SP - Sabino;Fora do perimetro;3544608;SP;SABINO;SP - SABINO;FORA DO PERIMETRO VTAL
3544509;SP - RUBINEIA;SP - Rubinéia;Fora do perimetro;3544509;SP;RUBINEIA;SP - RUBINEIA;FORA DO PERIMETRO VTAL
3544400;SP - RUBIACEA;SP - Rubiácea;Fora do perimetro;3544400;SP;RUBIACEA;SP - RUBIACEA;FORA DO PERIMETRO VTAL
3544301;SP - ROSEIRA;SP - Roseira;Fora do perimetro;3544301;SP;ROSEIRA;SP - ROSEIRA;FORA DO PERIMETRO VTAL
3544251;SP - ROSANA;SP - Rosana;Fora do perimetro;3544251;SP;ROSANA;SP - ROSANA;FORA DO PERIMETRO VTAL
3544202;SP - RIOLANDIA;SP - Riolândia;Fora do perimetro;3544202;SP;RIOLANDIA;SP - RIOLANDIA;FORA DO PERIMETRO VTAL
3544103;SP - RIO GRANDE DA SERRA;SP - Rio Grande da Serra;Fora do perimetro;3544103;SP;RIO GRANDE DA SERRA;SP - RIO GRANDE DA SERRA;FORA DO PERIMETRO VTAL
3544004;SP - RIO DAS PEDRAS;SP - Rio das Pedras;Fora do perimetro;3544004;SP;RIO DAS PEDRAS;SP - RIO DAS PEDRAS;FORA DO PERIMETRO VTAL
3543907;SP - RIO CLARO;SP - Rio Claro;V.tal;3543907;SP;RIO CLARO;SP - RIO CLARO;08. SP/RJ-Interior
3543808;SP - RINOPOLIS;SP - Rinópolis;Fora do perimetro;3543808;SP;RINOPOLIS;SP - RINOPOLIS;FORA DO PERIMETRO VTAL
3543709;SP - RINCAO;SP - Rincão;Fora do perimetro;3543709;SP;RINCAO;SP - RINCAO;FORA DO PERIMETRO VTAL
3543600;SP - RIFAINA;SP - Rifaina;Fora do perimetro;3543600;SP;RIFAINA;SP - RIFAINA;FORA DO PERIMETRO VTAL
3543501;SP - RIVERSUL;SP - Riversul;Fora do perimetro;3543501;SP;RIVERSUL;SP - RIVERSUL;FORA DO PERIMETRO VTAL
3543402;SP - RIBEIRAO PRETO;SP - Ribeirão Preto;V.tal;3543402;SP;RIBEIRAO PRETO;SP - RIBEIRAO PRETO;08. SP/RJ-Interior
3543303;SP - RIBEIRAO PIRES;SP - Ribeirão Pires;Fora do perimetro;3543303;SP;RIBEIRAO PIRES;SP - RIBEIRAO PIRES;FORA DO PERIMETRO VTAL
3543253;SP - RIBEIRAO GRANDE;SP - Ribeirão Grande;Fora do perimetro;3543253;SP;RIBEIRAO GRANDE;SP - RIBEIRAO GRANDE;FORA DO PERIMETRO VTAL
3543238;SP - RIBEIRAO DOS INDIOS;SP - Ribeirão dos Índios;Fora do perimetro;3543238;SP;RIBEIRAO DOS INDIOS;SP - RIBEIRAO DOS INDIOS;FORA DO PERIMETRO VTAL
3543204;SP - RIBEIRAO DO SUL;SP - Ribeirão do Sul;Fora do perimetro;3543204;SP;RIBEIRAO DO SUL;SP - RIBEIRAO DO SUL;FORA DO PERIMETRO VTAL
3543105;SP - RIBEIRAO CORRENTE;SP - Ribeirão Corrente;Fora do perimetro;3543105;SP;RIBEIRAO CORRENTE;SP - RIBEIRAO CORRENTE;FORA DO PERIMETRO VTAL
3543006;SP - RIBEIRAO BRANCO;SP - Ribeirão Branco;Fora do perimetro;3543006;SP;RIBEIRAO BRANCO;SP - RIBEIRAO BRANCO;FORA DO PERIMETRO VTAL
3542909;SP - RIBEIRAO BONITO;SP - Ribeirão Bonito;Fora do perimetro;3542909;SP;RIBEIRAO BONITO;SP - RIBEIRAO BONITO;FORA DO PERIMETRO VTAL
3542800;SP - RIBEIRA;SP - Ribeira;Fora do perimetro;3542800;SP;RIBEIRA;SP - RIBEIRA;FORA DO PERIMETRO VTAL
3542701;SP - RESTINGA;SP - Restinga;Fora do perimetro;3542701;SP;RESTINGA;SP - RESTINGA;FORA DO PERIMETRO VTAL
3542602;SP - REGISTRO;SP - Registro;V.tal;3542602;SP;REGISTRO;SP - REGISTRO;08. SP/RJ-Interior
3542503;SP - REGINOPOLIS;SP - Reginópolis;Fora do perimetro;3542503;SP;REGINOPOLIS;SP - REGINOPOLIS;FORA DO PERIMETRO VTAL
3542404;SP - REGENTE FEIJO;SP - Regente Feijó;Fora do perimetro;3542404;SP;REGENTE FEIJO;SP - REGENTE FEIJO;FORA DO PERIMETRO VTAL
3542305;SP - REDENCAO DA SERRA;SP - Redenção da Serra;Fora do perimetro;3542305;SP;REDENCAO DA SERRA;SP - REDENCAO DA SERRA;FORA DO PERIMETRO VTAL
3542206;SP - RANCHARIA;SP - Rancharia;V.tal;3542206;SP;RANCHARIA;SP - RANCHARIA;08. SP/RJ-Interior
3542107;SP - RAFARD;SP - Rafard;Fora do perimetro;3542107;SP;RAFARD;SP - RAFARD;FORA DO PERIMETRO VTAL
3542008;SP - QUINTANA;SP - Quintana;Fora do perimetro;3542008;SP;QUINTANA;SP - QUINTANA;FORA DO PERIMETRO VTAL
3541901;SP - QUELUZ;SP - Queluz;Fora do perimetro;3541901;SP;QUELUZ;SP - QUELUZ;FORA DO PERIMETRO VTAL
3541802;SP - QUEIROZ;SP - Queiroz;Fora do perimetro;3541802;SP;QUEIROZ;SP - QUEIROZ;FORA DO PERIMETRO VTAL
3541703;SP - QUATA;SP - Quatá;Fora do perimetro;3541703;SP;QUATA;SP - QUATA;FORA DO PERIMETRO VTAL
3541653;SP - QUADRA;SP - Quadra;Fora do perimetro;3541653;SP;QUADRA;SP - QUADRA;FORA DO PERIMETRO VTAL
3541604;SP - PROMISSAO;SP - Promissão;Fora do perimetro;3541604;SP;PROMISSAO;SP - PROMISSAO;FORA DO PERIMETRO VTAL
3541505;SP - PRESIDENTE VENCESLAU;SP - Presidente Venceslau;Fora do perimetro;3541505;SP;PRESIDENTE VENCESLAU;SP - PRESIDENTE VENCESLAU;FORA DO PERIMETRO VTAL
3541406;SP - PRESIDENTE PRUDENTE;SP - Presidente Prudente;V.tal;3541406;SP;PRESIDENTE PRUDENTE;SP - PRESIDENTE PRUDENTE;08. SP/RJ-Interior
3541307;SP - PRESIDENTE EPITACIO;SP - Presidente Epitácio;V.tal;3541307;SP;PRESIDENTE EPITACIO;SP - PRESIDENTE EPITACIO;08. SP/RJ-Interior
3541208;SP - PRESIDENTE BERNARDES;SP - Presidente Bernardes;Fora do perimetro;3541208;SP;PRESIDENTE BERNARDES;SP - PRESIDENTE BERNARDES;FORA DO PERIMETRO VTAL
3541109;SP - PRESIDENTE ALVES;SP - Presidente Alves;Fora do perimetro;3541109;SP;PRESIDENTE ALVES;SP - PRESIDENTE ALVES;FORA DO PERIMETRO VTAL
3541059;SP - PRATANIA;SP - Pratânia;Fora do perimetro;3541059;SP;PRATANIA;SP - PRATANIA;FORA DO PERIMETRO VTAL
3541000;SP - PRAIA GRANDE;SP - Praia Grande;V.tal;3541000;SP;PRAIA GRANDE;SP - PRAIA GRANDE;08. SP/RJ-Interior
3540903;SP - PRADOPOLIS;SP - Pradópolis;Fora do perimetro;3540903;SP;PRADOPOLIS;SP - PRADOPOLIS;FORA DO PERIMETRO VTAL
3540853;SP - PRACINHA;SP - Pracinha;Fora do perimetro;3540853;SP;PRACINHA;SP - PRACINHA;FORA DO PERIMETRO VTAL
3540804;SP - POTIRENDABA;SP - Potirendaba;Fora do perimetro;3540804;SP;POTIRENDABA;SP - POTIRENDABA;FORA DO PERIMETRO VTAL
3540754;SP - POTIM;SP - Potim;Fora do perimetro;3540754;SP;POTIM;SP - POTIM;FORA DO PERIMETRO VTAL
3540705;SP - PORTO FERREIRA;SP - Porto Ferreira;Fora do perimetro;3540705;SP;PORTO FERREIRA;SP - PORTO FERREIRA;FORA DO PERIMETRO VTAL
3540606;SP - PORTO FELIZ;SP - Porto Feliz;Fora do perimetro;3540606;SP;PORTO FELIZ;SP - PORTO FELIZ;FORA DO PERIMETRO VTAL
3540507;SP - PORANGABA;SP - Porangaba;Fora do perimetro;3540507;SP;PORANGABA;SP - PORANGABA;FORA DO PERIMETRO VTAL
